_id,year,county_id,county_name,type,nj_data_source,killed_total,killed_per_100milvmt,killed_per_capita,si_total,si_per_100milvmt,si_per_capita,ksi_total,ksi_per_100milvmt,ksi_per_capita,ksi_total_5yravg
"184","2012","42091","Montgomery","All","N/A","44","0.7","5.5","158","2.4","19.5","202","3.1","25","199.4"
"185","2012","42091","Montgomery","Motorized","N/A","32","0.5","4","139","2.1","17.2","171","2.6","21.2","null"
"186","2012","42091","Montgomery","Non-Motorized","N/A","12","0.2","1.5","19","0.3","2.3","31","0.5","3.8","null"
"187","2012","42101","Philadelphia","All","N/A","107","2","6.8","291","5.3","18.7","398","7.3","25.5","370.8"
"188","2012","42101","Philadelphia","Motorized","N/A","69","1.3","4.4","208","3.8","13.4","277","5.1","17.8","null"
"189","2012","42101","Philadelphia","Non-Motorized","N/A","38","0.7","2.4","83","1.5","5.3","121","2.2","7.7","null"
"190","2013","42017","Bucks","All","N/A","44","1","7","125","2.7","20","169","3.7","27","196.6"
"191","2013","42017","Bucks","Motorized","N/A","37","0.8","5.9","111","2.4","17.8","148","3.2","23.7","null"
"192","2013","42017","Bucks","Non-Motorized","N/A","7","0.2","1.1","14","0.3","2.2","21","0.5","3.3","null"
"193","2013","34005","Burlington","All","Official","37","0.8","8.2","95","2.1","21.2","132","2.9","29.4","149.8"
"194","2013","34005","Burlington","Motorized","Official","31","0.7","6.9","78","1.7","17.4","109","2.4","24.3","null"
"195","2013","34005","Burlington","Non-Motorized","Official","6","0.1","1.3","17","0.4","3.8","23","0.5","5.1","null"
"196","2013","34007","Camden","All","Official","32","0.8","6.3","97","2.5","19","129","3.3","25.3","150.8"
"197","2013","34007","Camden","Motorized","Official","21","0.5","4.1","76","2","14.9","97","2.5","19","null"
"198","2013","34007","Camden","Non-Motorized","Official","11","0.3","2.2","21","0.5","4.1","32","0.8","6.3","null"
"199","2013","42029","Chester","All","N/A","33","0.7","6.5","103","2.5","20.3","136","3.2","26.8","149.6"
"200","2013","42029","Chester","Motorized","N/A","27","0.6","5.3","95","2.3","18.7","122","2.9","24","null"
"201","2013","42029","Chester","Non-Motorized","N/A","6","0.1","1.2","8","0.2","1.6","14","0.3","2.8","null"
"202","2013","42045","Delaware","All","N/A","27","0.8","4.8","104","3.2","18.5","131","4","23.3","123.2"
"203","2013","42045","Delaware","Motorized","N/A","24","0.7","4.3","83","2.6","14.8","107","3.3","19.1","null"
"204","2013","42045","Delaware","Non-Motorized","N/A","3","0.1","0.5","21","0.6","3.7","24","0.7","4.2","null"
"205","2013","34015","Gloucester","All","Official","27","1","9.4","76","2.6","26.2","103","3.6","35.6","110"
"206","2013","34015","Gloucester","Motorized","Official","19","0.7","6.6","72","2.5","24.8","91","3.2","31.4","null"
"207","2013","34015","Gloucester","Non-Motorized","Official","8","0.3","2.8","4","0.1","1.4","12","0.4","4.2","null"
"208","2013","34021","Mercer","All","Official","33","0.9","8.9","30","0.8","8.1","63","1.7","17","82.6"
"209","2013","34021","Mercer","Motorized","Official","27","0.7","7.3","14","0.4","3.8","41","1.1","11.1","null"
"210","2013","34021","Mercer","Non-Motorized","Official","6","0.2","1.6","16","0.4","4.3","22","0.6","5.9","null"
"211","2013","42091","Montgomery","All","N/A","40","0.6","4.9","161","2.5","19.8","201","3.1","24.7","194.2"
"212","2013","42091","Montgomery","Motorized","N/A","31","0.5","3.8","134","2.1","16.5","165","2.6","20.3","null"
"213","2013","42091","Montgomery","Non-Motorized","N/A","9","0.1","1.1","27","0.4","3.3","36","0.5","4.4","null"
"214","2013","42101","Philadelphia","All","N/A","89","1.7","5.7","257","4.9","16.5","346","6.6","22.2","371.2"
"215","2013","42101","Philadelphia","Motorized","N/A","52","1","3.3","166","3.2","10.7","218","4.2","14","null"
"216","2013","42101","Philadelphia","Non-Motorized","N/A","37","0.7","2.4","91","1.7","5.8","128","2.4","8.2","null"
"217","2014","42017","Bucks","All","N/A","44","0.9","7.1","85","1.9","13.6","129","2.8","20.7","182"
"218","2014","42017","Bucks","Motorized","N/A","33","0.7","5.3","73","1.6","11.7","106","2.3","17","null"
"219","2014","42017","Bucks","Non-Motorized","N/A","11","0.2","1.8","12","0.3","1.9","23","0.5","3.7","null"
"220","2014","34005","Burlington","All","Official","34","0.7","7.6","55","1.1","12.3","89","1.8","19.9","136.4"
"221","2014","34005","Burlington","Motorized","Official","23","0.5","5.1","48","1","10.7","71","1.5","15.8","null"
"222","2014","34005","Burlington","Non-Motorized","Official","11","0.2","2.5","7","0.1","1.6","18","0.3","4.1","null"
"223","2014","34007","Camden","All","Official","40","1","7.8","58","1.5","11.4","98","2.5","19.2","139.8"
"224","2014","34007","Camden","Motorized","Official","24","0.6","4.7","54","1.4","10.6","78","2","15.3","null"
"225","2014","34007","Camden","Non-Motorized","Official","16","0.4","3.1","4","0.1","0.8","20","0.5","3.9","null"
"226","2014","42029","Chester","All","N/A","34","0.8","6.7","106","2.6","20.6","140","3.4","27.3","149.2"
"227","2014","42029","Chester","Motorized","N/A","27","0.6","5.3","95","2.3","18.5","122","2.9","23.8","null"
"228","2014","42029","Chester","Non-Motorized","N/A","7","0.2","1.4","11","0.3","2.1","18","0.5","3.5","null"
"229","2014","42045","Delaware","All","N/A","26","0.7","4.6","66","2.1","11.8","92","2.8","16.4","116.6"
"230","2014","42045","Delaware","Motorized","N/A","18","0.5","3.2","51","1.6","9.1","69","2.1","12.3","null"
